DATASET,RFDTBR_vs_RFPCT,RFDTBR_vs_Ada300,RFDTBR_vs_CLR,RFDTBR_vs_PSt,RFPCT_vs_Ada300,RFPCT_vs_CLR,RFPCT_vs_PSt,Ada300_vs_CLR,Ada300_vs_PSt,CLR_vs_PSt
NG20,0.023592206768670243,0.03142063966483444,0.10089637273571594,0.039534908758406484,0.007828432896164195,0.0773041659670457,0.01594270198973624,0.0694757330708815,0.008114269093572046,-0.06136146397730946
OHSUMED,0.015002485918300112,0.12963787666514415,0.04163452057209305,0.03896363075750786,0.11463539074684403,0.026632034653792935,0.02396114483920775,-0.0880033560930511,-0.09067424590763629,-0.0026708898145851867
PLANTGO,-0.03993743482794576,-0.02597213557912237,-0.008148750254013515,0.007504651643580718,0.013965299248823393,0.03178868457393225,0.04744208647152648,0.017823385325108854,0.033476787222703086,0.015653401897594232
PLANTPSEAAC,0.013959032476939581,0.1061156645841691,0.04896826773018892,-0.03870507305275267,0.09215663210722952,0.03500923525324934,-0.05266410552969225,-0.05714739685398018,-0.14482073763692177,-0.08767334078294159
PROTEINS_HUMAN,-0.11057040210215108,-0.26220495590455317,0.02020068635006389,0.0046443139690106605,-0.1516345538024021,0.13077108845221497,0.11521471607116174,0.28240564225461706,0.26684926987356383,-0.01555637238105323
PROTEINS_PLANT,-0.14940970647314195,-0.4055461122427478,0.0039802321061691015,0.008779803646563888,-0.25613640576960583,0.15338993857931105,0.15818951011970583,0.4095263443489169,0.41432591588931167,0.004799571540394787
PROTEINS_VIRUS,-0.07833333333333337,-0.31090604026845636,0.08662790697674427,0.13499999999999995,-0.232572706935123,0.16496124031007764,0.21333333333333332,0.39753394724520064,0.4459060402684563,0.04837209302325568
REUTERSK500,0.006305932558068883,0.060284877526667224,0.05497355521042596,-0.0004904134275889316,0.05397894496859834,0.04866762265235708,-0.0067963459856578146,-0.005311322316241263,-0.060775290954256156,-0.05546396863801489
SCENE,-0.0013342747836105895,0.0007849896504370513,-0.03215355387978669,-0.01880750442438217,0.0021192644340476408,-0.0308192790961761,-0.01747322964077158,-0.03293854353022374,-0.019592494074819222,0.013346049455404518
SLASHDOT,0.04422301585735611,0.0625616387260588,0.10541632462536421,0.038509132181891226,0.018338622868702692,0.0611933087680081,-0.005713883675464881,0.04285468589930541,-0.024052506544167573,-0.06690719244347298
STACKEX_CHESS,0.030166159347409793,0.027626812230245712,0.13524801323494012,0.03777220175300122,-0.0025393471171640813,0.10508185388753033,0.007606042405591429,0.10762120100469441,0.01014538952275551,-0.0974758114819389
STACKEX_CS,0.014179683336385585,0.08805762941411421,0.1859868310449814,0.008775587322291778,0.07387794607772863,0.17180714770859581,-0.005404096014093807,0.09792920163086719,-0.07928204209182244,-0.17721124372268962
STACKEX_PHILOSOPHY,0.05160422122919922,0.07005000371500703,0.24428534998654383,0.040609891261006725,0.018445782485807805,0.1926811287573446,-0.010994329968192496,0.1742353462715368,-0.0294401124540003,-0.2036754587255371
TMC2007_500,0.03814924867334635,0.24132639580268211,0.060206734968728304,0.08429373511124261,0.20317714712933577,0.022057486295381956,0.04614448643789626,-0.1811196608339538,-0.1570326606914395,0.024087000142514303
VIRUSGO,-0.037267080745341574,0.023809523809523947,0.10842490842490837,0.024844720496894457,0.06107660455486552,0.14569198917024995,0.06211180124223603,0.08461538461538443,0.0010351966873705098,-0.08358018792801392
VIRUS_PSEAAC,-0.018141232328242884,-0.00967831778303857,0.008049474820850111,-0.05467326217130969,0.008462914545204314,0.026190707149092995,-0.036532029843066804,0.01772779260388868,-0.04499494438827112,-0.0627227369921598
WATER_QUALITY,-0.005005316209051092,0.10276789334002046,0.041913728467938505,0.06051837668892224,0.10777320954907155,0.046919044676989596,0.06552369289797333,-0.06085416487208195,-0.04224951665109822,0.018604648220983733
YEAST,-0.007187069567750615,0.07679471241535696,0.049953331246680444,0.007176275779342656,0.08398178198310757,0.05714040081443106,0.01436334534709327,-0.026841381168676515,-0.0696184366360143,-0.04277705546733779
YELP,0.013521292595663925,0.14067821211928178,0.12757531762219176,0.10444459676291562,0.12715691952361785,0.11405402502652784,0.0909233041672517,-0.013102894497090012,-0.036233615356366156,-0.023130720859276144
